name,12hpi_Cf_1,12hpi_Cf_2,12hpi_Cf_3,1dpi_Cf_1,1dpi_Cf_2,1dpi_Cf_3,2dpi_Cf_1,2dpi_Cf_2,2dpi_Cf_3,12hpi_Chitin_1,12hpi_Chitin_2,12hpi_Chitin_3,1dpi_Chitin_1,1dpi_Chitin_2,1dpi_Chitin_3,2dpi_Chitin_1,2dpi_Chitin_2,2dpi_Chitin_3,12hpi_Flg22_1,12hpi_Flg22_2,12hpi_Flg22_3,1dpi_Flg22_1,1dpi_Flg22_2,1dpi_Flg22_3,2dpi_Flg22_1,2dpi_Flg22_2,2dpi_Flg22_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,12hpi_Mz_1,12hpi_Mz_2,12hpi_Mz_3,1dpi_Mz_1,1dpi_Mz_2,1dpi_Mz_3,2dpi_Mz_1,2dpi_Mz_2,2dpi_Mz_3,12hpi_Pb_1,12hpi_Pb_2,12hpi_Pb_3,1dpi_Pb_1_,1dpi_Pb_2_,1dpi_Pb_3_,2dpi_Pb_1_,2dpi_Pb_2_,2dpi_Pb_3_,12hpi_Sc_1,12hpi_Sc_2,12hpi_Sc_3,1dpi_Sc_1,1dpi_Sc_2,1dpi_Sc_3,2dpi_Sc_1,2dpi_Sc_2,2dpi_Sc_3,12hpi_XeWT_1,12hpi_XeWT_2,12hpi_XeWT_3,1dpi_XeWT_1,1dpi_XeWT_2,1dpi_XeWT_3,2dpi_XeWT_1,2dpi_XeWT_2,2dpi_XeWT_3
M170T887,291160.6973,197079.3572,81153.05419,68582.20632,143708.9546,110568.0497,119005.9765,70986.28124,38330.40221,37481.56338,25610.0337,46808.55884,55838.41638,11168.13659,20493.47833,104857.5167,96719.2109,126166.151,10940.32381,13942.05519,31520.29405,6341.909345,4811.772277,4955.615052,1163.356715,1001.196632,0,1204.988846,2657.994213,2883.943188,569.5963584,202.7649253,0,0,456.2479032,206.8831509,0,0,885.8974272,0,177.7386794,467.8092906,1244.082041,0,192.9024115,53394.0541,78181.74198,97066.56847,16222.3638,18429.10401,17389.98953,13928.91416,24755.62468,15158.40589,43426.42294,2213.786088,18402.36791,39365.80823,8441.925995,5730.258136,12188.56336,12521.9582,5661.215481,1843.108364,9462.160425,4718.065461,24656.14481,21204.8614,23501.94894,14855.85807,23831.54376,4380.568331,4693.860156,3838.282008,5200.423754,8410.522565,9666.560196,6957.452172,14379.70753,12456.51481,13339.85281
M282T761,14125392.7,17953966.24,5872186.204,2996238.624,4809331.322,1297784.955,7616153.08,5175047.074,2127623.828,803744.6774,270045.8574,1044059.987,1629350.941,137626.8373,359642.5676,3007953.739,1061433.843,1241051.564,74742.2966,93305.62075,169475.9076,53934.14352,28128.9614,19690.54592,20406.90378,12910.5704,18259.60288,11343.47647,11785.82798,17392.46059,10840.07787,7839.377841,11593.00309,9793.316327,11328.83888,10594.71786,32798.40231,17012.37242,40874.5305,18254.6518,12689.09916,28629.27208,88836.72661,51663.62823,122248.3655,301979.1685,221515.1096,345045.4698,42758.84333,326668.7309,282450.967,71930.43003,241494.261,50977.65235,251536.2999,32416.07217,51803.33543,103190.0835,343814.7028,71606.66132,562617.9873,276269.3311,40345.98945,39430.11607,20339.20702,37887.49128,76698.72585,10777.86298,26504.93039,72782.28762,212116.0502,58655.27316,191702.8174,258210.5945,243129.7954,106647.7657,425041.7564,561713.2366,224765.0484,408639.3304,220613.1854
M284T1010,7747055.469,10605485.87,3077964.111,2484973.326,2553354.974,1249765.809,2608356.812,2227816.538,1349990.383,6033076.25,2216898.862,7012209.191,4030784.639,1028906.773,1764690.931,5063474.609,3917415.696,4380714.231,337550.6234,344377.4244,526306.9916,172892.544,106487.7316,159108.9435,76504.27813,62072.88966,133039.6525,83721.23127,121195.433,154215.0321,58851.7755,48499.35729,59923.86346,46845.7472,54487.24598,59441.60972,459364.0821,92327.09557,379519.1604,105418.063,51376.75193,270448.7221,308502.0481,83327.78688,334220.7355,620561.1874,1348486.334,2004256.483,191033.0644,504061.3888,358138.2419,182392.4229,350292.4081,161422.256,956016.6748,297963.0079,457537.3178,183185.2458,990376.9556,309307.3904,367749.0377,324539.087,93412.95174,427512.4802,241629.046,407431.9019,507759.3285,154386.9566,222308.8576,111688.0603,274706.6414,85696.89217,1647099.3,1266860.769,895728.973,292393.5267,682726.2294,403833.5082,399350.9048,470783.2356,345314.7752
M300T887,6910628.075,4847439.784,1740936.272,1558350.235,3108971.838,2177474.996,2569550.894,1254152.836,630558.7104,449358.3559,244040.9698,1513458.022,984031.2777,144517.2916,290369.0123,1849411.62,1640943.883,2445655.177,142032.9451,204693.5871,487263.1906,73948.85806,73578.26324,63547.15075,22417.90515,27314.07439,24112.87076,19282.80028,33782.67582,51493.8031,9525.452769,13882.12563,15892.32389,9224.648821,15111.92093,8474.083159,9543.249659,6612.153545,23759.98617,4441.60022,3793.210358,9883.715059,13996.94284,5070.647379,18757.06661,770035.4551,1222616.049,1514930.632,246961.162,249827.7552,242104.7375,226290.8086,408376.5984,188576.4553,614003.0738,34441.46405,266942.1779,553818.5186,82383.17707,84873.16533,182899.4714,182695.9272,74496.84297,37753.304,128019.4766,66035.96451,447713.1572,357512.5843,379749.2159,213866.0236,375941.138,62160.16145,115476.8488,75125.27013,93089.44842,140834.9959,227492.468,157385.434,215828.1864,168544.3592,191640.3912
M284T892,107385.7645,223483.7656,76851.99597,86456.53166,163788.8626,64611.89233,1749095.951,2174623.223,1113586.825,2171405.773,1961953.073,2938722.172,1385835.359,552134.2036,742085.6651,2710414.223,1790550.053,2936688.621,103932.231,211121.6821,176659.2593,300221.5588,149748.6403,57720.18368,154181.9206,71576.42278,67793.1531,45939.79174,31820.76991,94084.19389,28275.51237,29292.43812,95030.38699,27308.91819,71317.25205,27106.6432,26146.42972,15616.88951,16565.42946,11023.20988,7694.805934,13840.32037,223762.1031,75992.79213,152343.5265,166080.1707,343646.1915,614432.4165,100273.2429,301251.2074,294601.9538,89509.22985,179562.4125,101631.9218,532231.1262,90207.83319,95850.94998,139587.6979,343184.8827,216157.7325,217626.2608,160909.4164,59200.54067,76210.99142,33427.5232,61986.26239,185913.2569,24415.12055,30049.09349,75672.59821,168336.6071,47898.63017,33511.51863,20830.06688,24143.91704,30080.74527,79189.80553,24274.87358,252351.8438,481988.043,244080.8366
M139T766,17327.21276,14874.72054,10972.23079,11859.39172,11453.99823,11089.06953,15126.55515,15693.85322,14124.86099,609920.0378,519587.3169,494440.9271,2243751.042,1057283.727,1078818.449,3001490.213,2412434.792,1634360.085,14916.17798,19131.50112,17297.0411,18070.87237,15744.45986,18422.37133,16197.34759,16126.5901,19510.1887,15237.17458,15442.49184,18047.23471,15731.96988,15695.4252,18542.14256,18555.71097,21517.77569,17915.3678,14409.57915,13979.65504,14242.56232,13617.14927,14526.57878,12992.13786,13914.00228,11386.17003,16542.78864,18522.99933,13486.04051,15130.1194,22431.63508,19945.87692,18181.7005,21543.61099,25175.09846,45931.53396,23743.80627,15320.38735,18489.68499,44259.27787,18779.59604,24653.25505,23824.66233,21028.42213,19427.555,18723.99299,16589.79162,22055.1422,32372.55738,51271.74809,52974.67536,143366.4913,138724.9752,37272.45701,15584.71285,14901.02212,12994.7624,15739.5323,16189.2057,22050.19411,14322.62384,16719.89739,18871.73331
M162T1011,256849.72,343354.4065,81893.14225,63679.1029,74721.56896,40971.14951,62107.86204,55663.97809,32256.41935,187889.5821,86710.84627,217006.2781,124184.8998,36737.90163,67184.29166,159003.3935,123556.2221,154441.0834,16951.43576,15959.3409,25653.25681,7833.913822,5611.065552,6152.156688,2304.816468,1830.478242,3665.541247,3407.704464,5014.03957,5930.325938,2896.970769,992.592707,1460.873564,1704.809663,2255.890358,1428.574713,18683.12401,3726.230298,15472.85688,4151.185678,922.1578778,8722.3303,10259.60604,1282.044421,9797.513661,24555.1052,53339.94926,76142.89495,9277.390952,21664.58729,14809.5304,8432.548296,16900.64688,6164.827616,38597.79247,14817.65178,22296.49523,7481.989099,37002.86909,14879.14971,12222.45542,15661.98428,3473.40969,21071.17569,11997.27234,20388.28272,19107.68065,7714.828498,10092.00944,4344.159208,11936.376,4317.325257,62671.78713,50810.31127,40085.38972,11400.82938,28307.26629,17649.58811,16738.46496,16789.63959,12926.29611
M484T355,13327.66665,29293.86318,8938.242494,11011.60767,42812.95742,17991.44884,280023.8964,871201.1177,310088.9899,89368.22876,88355.37979,98295.46224,210569.9556,193163.5834,250692.0193,62764.12092,224278.6394,78279.7616,62130.60947,97448.6466,20718.92241,245024.3328,83527.71985,51345.55337,182136.0161,59699.6089,23964.28107,472.7901902,2080.206487,29267.20952,1547.363713,692.3509393,7188.1758,226.0573955,3752.73756,4964.293616,0,0,315.8283978,0,147.6243798,354.8598053,7383.016931,666.1531541,7865.439094,8676.302482,10629.88434,17740.36925,13748.11129,16005.88067,12778.64607,8514.764014,9806.406213,12871.81271,2976.57865,671.2022704,1380.913217,45505.15025,10943.09121,18207.54466,66986.62515,17415.42646,10702.98922,224.7933956,1150.176921,1163.866983,3082.195933,797.4659154,416.1657329,7764.322394,10886.25996,738.0361148,1182.473311,0,153.2271449,194.161469,1253.291049,2080.246291,26199.43764,34484.32056,31110.28078
M285T1011,1378228.458,1906401.251,564210.5548,462129.8113,466019.865,240576.3397,474300.5554,412145.4037,252116.3173,1006381.386,391623.4917,1168844.632,691555.1663,191904.5199,321342.9833,865643.7965,682067.4186,760286.778,68717.61608,68768.66426,100852.3763,39009.29569,26122.31248,35936.56899,19454.82008,17171.30675,26549.34465,21986.45172,29832.00601,33861.38478,15300.75258,15253.97176,15422.70111,13276.7855,13539.05441,13840.47041,92430.68052,25818.14341,76944.70934,19984.02208,16379.09307,59398.81294,64655.76483,21407.50422,66942.26415,119394.0328,249604.8506,368531.6984,42222.32072,100698.6579,72840.82968,40916.53337,71014.8902,37739.73856,180194.0455,60514.12834,88715.81796,40434.30518,194630.9996,63292.19877,76269.78464,67278.89196,23360.76605,83546.52674,51607.79758,81399.87579,102924.4501,35045.98706,51675.06988,23520.85178,59044.72657,14521.64123,311012.2028,241117.1625,178773.8168,63995.64207,135018.8889,83847.78327,80135.88249,92933.45128,70263.1764
M121T766,4971.870275,6107.413934,6967.516911,6205.623419,6659.892202,6647.300095,4343.46533,6138.45312,6924.923215,283228.2879,241063.4993,237269.861,999226.2172,493360.7972,498505.6247,1269560.053,1019278.684,697990.3777,11763.03379,12737.54116,12513.10384,12185.11016,12632.84702,12859.21814,12005.34287,11676.03159,11377.05568,12435.01383,10287.93753,13147.85291,12673.43082,12333.1343,10590.06002,11277.08635,11446.04112,11496.13034,8089.891996,7608.461156,8354.217363,7287.050144,6680.63547,7569.271326,7338.372974,7594.916884,6706.943067,12174.34505,11017.01542,12287.49664,12921.48336,12337.49019,13223.73123,12794.83781,14805.99475,42536.22461,12721.52317,12634.21616,12729.51288,18409.45936,14320.23682,12289.32591,13928.68663,11278.19729,12179.65082,12285.83135,14132.80437,13682.06095,17178.3784,24265.39127,25149.37528,65685.27875,64860.49374,19017.99329,6391.913699,7754.824466,8028.461951,8099.98988,7819.210254,8194.803507,8001.925092,7129.181744,8225.488676
