,mzmed,rtmed,12hpi_Cf_1,12hpi_Cf_2,12hpi_Cf_3,1dpi_Cf_1,1dpi_Cf_2,1dpi_Cf_3,2dpi_Cf_1,2dpi_Cf_2,2dpi_Cf_3,12hpi_Chitin_1,12hpi_Chitin_2,12hpi_Chitin_3,1dpi_Chitin_1,1dpi_Chitin_2,1dpi_Chitin_3,2dpi_Chitin_1,2dpi_Chitin_2,2dpi_Chitin_3,12hpi_Flg22_1,12hpi_Flg22_2,12hpi_Flg22_3,1dpi_Flg22_1,1dpi_Flg22_2,1dpi_Flg22_3,2dpi_Flg22_1,2dpi_Flg22_2,2dpi_Flg22_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,2hpi_Mock_1.1,2hpi_Mock_2.1,2hpi_Mock_3.1,1dpi_Mock_1.1,1dpi_Mock_2.1,1dpi_Mock_3.1,2dpi_Mock_1.1,2dpi_Mock_2.1,2dpi_Mock_3.1,12hpi_Mz_1,12hpi_Mz_2,12hpi_Mz_3,1dpi_Mz_1,1dpi_Mz_2,1dpi_Mz_3,2dpi_Mz_1,2dpi_Mz_2,2dpi_Mz_3,12hpi_Pb_1,12hpi_Pb_2,12hpi_Pb_3,1dpi_Pb_1_,1dpi_Pb_2_,1dpi_Pb_3_,2dpi_Pb_1_,2dpi_Pb_2_,2dpi_Pb_3_,12hpi_Sc_1,12hpi_Sc_2,12hpi_Sc_3,1dpi_Sc_1,1dpi_Sc_2,1dpi_Sc_3,2dpi_Sc_1,2dpi_Sc_2,2dpi_Sc_3,12hpi_XeWT_1,12hpi_XeWT_2,12hpi_XeWT_3,1dpi_XeWT_1,1dpi_XeWT_2,1dpi_XeWT_3,2dpi_XeWT_1,2dpi_XeWT_2,2dpi_XeWT_3
M1001T1717,1000.6677289999999,1717.381912,450653.2551,328531.8896,491849.309,835381.4912,119870.3582,89157.40701,332708.2561,182499.6329,243312.7516,107717.9994,398027.0834,186757.3977,478876.8799,11648.3292,50282.65853,951009.4595,120298.0121,374263.0882,6825.7257549999995,193080.0125,218358.044,146716.7077,57591.6433,38119.38488,263904.9095,90007.49682,152750.3346,541204.7804,7515.151537999999,118232.0352,0.0,226220.8069,278902.4595,802225.8755,446420.6294,198911.2231,64813.06853,47946.96485,92798.86955,27334.7078,5665.848872,11498.06457,56921.3341,15716.3252,56202.86206,134209.7832,29412.60958,118709.4704,91976.00351000001,177721.0065,120055.705,53332.09668,554607.7642,142140.5766,167875.5987,10582.24155,17999.08142,112458.2694,21779.94738,205509.1149,10892.36982,78887.53063,44615.202410000005,41829.827769999996,34666.6643,168352.6936,1708.824575,35504.75172,36048.64798,33408.10748,28916.36392,89324.09178999999,121102.156,272224.0004,40471.65195,33033.42324,40296.952730000005,23680.26383,28402.694730000003,26857.653980000003,10079.31173
M1003T1717,1002.6847710000001,1716.631132,106744.2035,78607.62384,114063.9549,183896.3864,32829.95815,36947.575560000005,79637.26896,55914.959870000006,67161.30201,35378.27511,99881.3012,51880.448430000004,116508.9164,13373.79883,22592.10427,211714.4292,36316.06455,91716.54862,11793.16228,52656.77962,58466.44579,45111.13162,22828.11167,17250.4964,66778.42788999999,27427.71592,47584.8034,126457.9063,13125.0766,39387.91556,0.0,61529.551739999995,73450.1248,177991.1337,103306.3418,52061.83803,23844.25975,21467.23434,47767.78931,11697.44872,13668.32316,9900.710216,31493.45591,24731.64531,31565.487419999998,39620.4235,15946.874440000001,39110.99165,32619.84929,54455.86285,39554.24288,18400.97645,131722.7649,40656.012610000005,49213.58949,16285.37761,15639.87941,36866.34446,13584.40736,57992.84195,12314.96976,26182.54217,18145.6969,15356.19464,13096.83584,53079.59485,2547.435936,15529.0803,15371.56172,13673.39186,12876.89776,25338.67841,67834.1677,92848.89416,14608.969309999999,17804.55542,14522.5671,11084.128770000001,22112.108959999998,22360.95007,22489.3611
M1004T1618,1004.497409,1618.270015,16169.3947,480.8408095,42137.15898,35814.60601,55836.023479999996,12567.81285,35866.49095,23021.28195,16067.326480000002,59261.53058,15966.16084,81046.24701,86869.06917999999,321115.6232,154791.5431,36043.07523,197238.8868,119171.3759,99966.96925,24604.68807,52698.30726,94184.94983,77092.54699,147193.7221,59903.54025,51136.27497,19898.75174,39972.44594,95446.53332,66337.26516,0.0,76355.11337,28111.90612,31869.013939999997,11561.232,15370.13615,11125.0912,15621.254280000001,5390.3236640000005,7127.413990999999,8647.291232,1865.4928510000002,6596.426639,6596.611155,2796.582342,82231.82241000001,129635.5227,63602.06028,95877.15981,48448.9671,53837.791489999996,32729.84513,9520.857901000001,52579.01731,81565.78456,45637.26624,137086.1672,177786.1523,93769.94652,59214.04519,68960.45545,18590.45965,40392.2124,14061.792980000002,3991.4228420000004,6408.350924,19153.65864,7133.084884000001,8271.160225,22433.69756,18511.31926,8965.212778000001,21460.99575,1956.9504559999998,8200.381534999999,29976.41652,1408.298483,6648.990436,10746.02801,15554.60344,12087.211440000001
M1006T1618,1005.5007949999999,1618.382769,9716.286619,2038.7837550000002,23433.130269999998,19549.76324,29528.239139999998,7394.858238,20937.58441,13926.08545,9813.736283,32790.81002,10645.388570000001,45453.6289,48277.46708,171564.2498,89880.11985,21835.99533,114299.8324,71637.73632000001,55180.04725,14089.996019999999,29816.06535,49944.99958,43441.561460000004,81417.20734,31659.50754,28840.5616,11848.61997,23838.59955,54475.74363,37358.55788,0.0,41480.66771,17226.89945,18027.57995,6375.377411,8292.298668000001,5784.811503,8457.444498,4632.978607,4536.03239,4317.783783,1623.85005,3290.223152,2253.5961,688.0716689,46578.01747,70283.92439,36819.857710000004,53490.56722,28080.634510000004,29818.02767,19474.13554,5361.084871,32057.46305,47428.8315,25728.17432,75646.98792999999,97297.34236000001,51754.06129,34223.12785,38151.47571,10356.40963,23681.3875,7686.202462,2825.764419,4718.120009,13824.87414,3990.858145,5045.494665,11674.288929999999,10544.446829999999,5099.887768,14645.17756,1117.527214,4566.860403,14543.9047,1428.2664029999999,3275.34409,7432.37927,9442.34447,8205.31957
M1017T1867,1016.5332539999999,1866.6621489999998,293500.6734,190285.5372,172245.1387,60113.70751,524338.7543,32517.029960000003,14521.976180000001,14300.94238,11803.38068,46188.402089999996,51321.44623,86085.6512,126629.0246,276910.9927,227630.5918,39284.60529,113318.1075,36195.0882,178161.24800000002,90892.30268,142839.0299,209247.1666,96689.06671,176284.1974,76342.22402000001,140752.0424,49481.57621,197789.405,623971.7432,92903.50017999999,0.0,129610.3738,39802.04289,24413.33567,13926.148809999999,29102.59049,182488.4902,85695.72104,48375.20727,188136.7538,73175.02561,54114.2304,6209.005523,7325.0155349999995,810.0463631,182280.5915,261173.8727,339504.7401,171430.3846,67638.62894,164487.2107,112092.5333,18240.43231,61228.61591,256520.688,229623.7091,195343.1355,141538.1683,260453.1154,65196.85062999999,334371.6112,95771.1086,186149.7576,19350.93677,11728.16435,13744.17235,14544.67625,9659.878757999999,15275.0716,16200.47203,14168.471669999999,9626.708052,268750.827,338779.9453,324882.4052,360064.8539,194681.9042,373508.5838,10161.850629999999,20397.692369999997,15416.166180000002
M1018T1866,1017.5393429999999,1866.0700359999998,174875.5202,112967.4108,99665.74567,20499.804119999997,304081.7927,6950.899737000001,14700.0666,9345.562262000001,8487.216164,8107.059886,15409.938,41056.06729,67924.13906,159679.5771,134322.0648,10528.80197,57084.07087,11591.94493,108247.4561,43570.39273,80841.94383999999,130320.6216,52678.99275,101932.9919,25092.93968,78597.81451,5782.423916,121768.4875,364052.2349,48442.14875,0.0,67106.7677,11182.06063,2028.85133,977.5043151000001,5087.616913,109995.2807,38761.20098,24038.49784,117877.8329,24319.348169999997,23590.961769999998,9263.861997,4767.100974,5789.1602219999995,107006.227,156525.4765,202267.7896,93789.26062,16668.412669999998,101282.0261,64515.156970000004,1278.052677,14594.227330000002,148295.4708,137853.6556,113241.2684,82122.47267,156575.6859,28848.02776,191885.8907,47396.35863,104309.756,4366.0222539999995,2308.133725,2145.375129,4256.356654,1890.3530670000002,1466.393792,5010.636228,2436.1613429999998,2962.373544,124518.1027,205896.1172,187087.0133,216553.0974,113924.1758,219395.3672,9254.70658,11456.49847,6296.355492000001
M1019T1872,1018.537051,1872.26607,64330.45395,36307.09917,42110.476389999996,18290.6267,128442.2419,8940.810778000001,6911.232337,5677.234928,5189.440582,13759.27339,14205.136540000001,23802.42935,36190.52526,67832.56769,57304.41934,12332.7189,31398.30645,11382.35168,44929.213110000004,23905.18735,36703.352269999996,52922.385389999996,24709.7736,42268.34006,20301.6371,35336.169760000004,10601.81654,48934.41553,152830.0849,22966.5678,0.0,30519.704339999997,10905.456470000001,9168.972917000001,4615.404248,9221.114486,42870.91089,22534.83369,14055.59606,46032.87277,15370.290819999998,17535.73637,3327.759445,2943.12646,1108.460725,47660.5006,61153.33603,87693.71002,42620.03807,17351.28724,41896.43412,29889.78366,7041.393847,15232.90539,63592.28942000001,55465.0496,50117.04444,37680.88974,63543.82144,17585.99854,84561.32291,23513.32031,46891.10499,5473.903573,3208.429045,3917.864908,4330.592473,3918.187596,4608.417306,4669.494968999999,3928.69086,2632.549572,62945.98741,89555.79505,81310.77546,92448.90024,41295.60607,97975.92317000001,2384.95618,6541.2318829999995,2107.232193
M1046T1711,1045.5483359999998,1711.057325,14317.252209999999,8916.733502,7768.897345,8700.847907,8368.480375,8103.903712,6308.389724000001,6523.522621,6183.325405,11984.46263,20072.93019,14141.85229,8027.790690999999,14247.14987,12315.399870000001,63025.111410000005,71191.8101,79337.98194,3333.1175980000003,10985.151170000001,12051.306120000001,18793.078269999998,15281.082569999999,8812.801779000001,79478.35488,28029.29738,61624.70643,13895.954280000002,2710.949013,10289.72078,0.0,6329.9350380000005,6911.429964,98918.63661,76737.17021,31938.4501,86398.20293,134423.7172,114681.5242,73202.85197,54692.1099,27710.72525,8187.128354,5226.813164,7078.494898999999,10387.62276,5153.449105,7525.48201,7366.062275,8277.730898,7273.861658,23878.0032,230337.2489,19341.223319999997,7780.938903,8785.967134,14621.744009999999,10536.47284,10410.90064,16661.53504,5816.460348,18625.58977,21203.82274,143115.9453,95802.54613999999,26757.1678,31877.69525,26545.408,104319.674,33762.706139999995,25927.045130000002,192824.9852,125661.9365,22713.76886,16832.56511,42780.12639,17402.607030000003,7230.645775,5220.85061,6529.633591,1429.0633189999999
M1049T785,1048.530304,784.9871248,63713.704939999996,83000.96657,157020.7144,180368.117,92264.81761,48887.77677,154971.7708,182226.4379,224791.7342,26216.47609,24559.81108,19720.84879,35684.33256,31826.278619999997,19567.0126,35596.78613,34877.1696,19099.08024,25674.618169999998,25106.08728,31142.74306,28702.83139,26567.18266,33106.699810000006,29442.92902,27560.624410000004,37403.14617,24117.1477,27166.63642,40605.52091,26779.116430000002,24372.98141,80170.01684,28239.12247,77970.89065,75512.78416,28548.47375,17691.55504,124012.1144,19899.16834,16567.71293,73910.45998,53835.07712,25513.21431,106344.2546,23222.77549,23009.50911,27081.858210000002,22160.64898,30418.71451,32640.104010000003,23563.92969,30395.71052,28748.669889999997,17135.87484,11871.43017,25264.68521,16051.72205,17329.73483,21098.91091,23358.68594,23103.845559999998,18887.08885,16541.23306,16951.19261,15109.56313,14984.27978,19713.950419999997,17907.921619999997,14437.089719999998,18655.20857,19272.32764,34127.800039999995,35636.89146,17141.85444,29777.61418,38482.045289999995,17678.3305,39928.0772,64738.4438,26657.33386
M1050T786,1049.533929,785.9928259999999,35321.84617,28735.864060000004,93703.15172000001,105249.381,55845.84066,27958.486380000002,87640.49282999999,103606.6921,127128.0659,15594.7308,14369.08803,10358.13104,20767.85107,18735.89919,11573.15131,22444.95838,20388.64599,11765.30502,15655.38694,15543.32455,18555.19364,16953.8754,16902.00371,18558.40943,18376.92651,15511.31336,20985.892969999997,13643.420240000001,15044.0891,24227.71128,17936.29684,14235.24556,47174.546010000005,17037.49697,44265.23616,44403.33443,17334.84835,9566.882898,53487.09925,11853.545409999999,8857.403098,36061.67822,31529.81828,14534.604330000002,61347.18191,13431.61288,13868.99715,17454.90739,13946.276759999999,19269.66962,20671.13375,14421.57571,17747.56324,17570.57123,10507.35894,6247.027475,15480.381480000002,10498.4001,10023.5891,13079.66772,13862.479430000001,14611.73985,11864.63083,8714.626137000001,10499.57517,9422.78525,8793.457390000001,11153.432859999999,12338.610540000001,8774.992291,11027.605370000001,10436.984709999999,22200.477890000002,19347.16765,8388.436492,16833.58118,20657.61443,10310.07843,22968.20807,37422.137689999996,16498.526530000003
